Pais,SICCODE_Codigo,Descripcion,Riesgo,Codseccion,Descrip seccion
CFC,1921,Industrias manufactureras,Bajo,"C         ",Fabricación de productos de la refinación del petróleo
CFC,1922,Industrias manufactureras,Bajo,"C         ",Actividad de mezcla de combustibles
CFC,2011,Industrias manufactureras,Bajo,"C         ",Fabricación de sustancias y productos químicos básicos
CFC,2012,Industrias manufactureras,Bajo,"C         ",Fabricación de abonos y compuestos inorgánicos nitrogenados
CFC,2013,Industrias manufactureras,Bajo,"C         ",Fabricación de plásticos en formas primarias
CFC,2014,Industrias manufactureras,Bajo,"C         ",Fabricación de caucho sintético en formas primarias
CFC,2021,Industrias manufactureras,Bajo,"C         ",Fabricación de plaguicidas y otros productos químicos de uso agropecuario
CFC,2022,Industrias manufactureras,Bajo,"C         ","""""""Fabricación de pinturas"
CFC,2023,Industrias manufactureras,Bajo,"C         ","""""""Fabricación de jabones y detergentes"
CFC,2029,Industrias manufactureras,Bajo,"C         ",Fabricación de otros productos químicos n.c.p.
CFC,2030,Industrias manufactureras,Bajo,"C         ",Fabricación de fibras sintéticas y artificiales
CFC,2100,Industrias manufactureras,Bajo,"C         ","""""""Fabricación de productos farmacéuticos"
CFC,2211,Industrias manufactureras,Bajo,"C         ",Fabricación de llantas y neumáticos de caucho
CFC,2212,Industrias manufactureras,Bajo,"C         ",Reencauche de llantas usadas
CFC,2219,Industrias manufactureras,Bajo,"C         ",Fabricación de formas básicas de caucho y otros productos de caucho n.c.p.
CFC,2221,Industrias manufactureras,Bajo,"C         ",Fabricación de formas básicas de plástico
CFC,2229,Industrias manufactureras,Bajo,"C         ",Fabricación de artículos de plástico n.c.p.
CFC,2310,Industrias manufactureras,Bajo,"C         ",Fabricación de vidrio y productos de vidrio
CFC,2391,Industrias manufactureras,Bajo,"C         ",Fabricación de productos refractarios
CFC,2392,Industrias manufactureras,Bajo,"C         ",Fabricación de materiales de arcilla para la construcción
CFC,2393,Industrias manufactureras,Bajo,"C         ",Fabricación de otros productos de cerámica y porcelana
CFC,2394,Industrias manufactureras,Bajo,"C         ","""""""Fabricación de cemento"
CFC,2395,Industrias manufactureras,Bajo,"C         ","""""""Fabricación de artículos de hormigón"
CFC,2396,Industrias manufactureras,Bajo,"C         ","""""""Corte"
CFC,2399,Industrias manufactureras,Bajo,"C         ",Fabricación de otros productos minerales no metálicos n.c.p.
CFC,2410,Industrias manufactureras,Bajo,"C         ",Industrias básicas de hierro y de acero
CFC,2421,Industrias manufactureras,Bajo,"C         ",Industrias básicas de metales preciosos
CFC,2429,Industrias manufactureras,Bajo,"C         ",Industrias básicas de otros metales no ferrosos
CFC,2431,Industrias manufactureras,Bajo,"C         ",Fundición de hierro y de acero
CFC,2432,Industrias manufactureras,Bajo,"C         ",Fundición de metales no ferrosos
CFC,2511,Industrias manufactureras,Bajo,"C         ",Fabricación de productos metálicos para uso estructural
CFC,2512,Industrias manufactureras,Bajo,"C         ","""""""Fabricación de tanques"
CFC,2513,Industrias manufactureras,Bajo,"C         ","""""""Fabricación de generadores de vapor"
CFC,2520,Industrias manufactureras,Bajo,"C         ",Fabricación de armas y municiones
CFC,2591,Industrias manufactureras,Bajo,"C         ","""""""Forja"
CFC,2592,Industrias manufactureras,Bajo,"C         ",Tratamiento y revestimiento de metales; mecanizado
CFC,2593,Industrias manufactureras,Bajo,"C         ","""""""Fabricación de artículos de cuchillería"
CFC,2599,Industrias manufactureras,Bajo,"C         ",Fabricación de otros productos elaborados de metal n.c.p.
CFC,2610,Industrias manufactureras,Bajo,"C         ",Fabricación de componentes y tableros electrónicos
CFC,2620,Industrias manufactureras,Bajo,"C         ",Fabricación de computadoras y de equipo periférico
CFC,2630,Industrias manufactureras,Bajo,"C         ",Fabricación de equipos de comunicación
CFC,2640,Industrias manufactureras,Bajo,"C         ",Fabricación de aparatos electrónicos de consumo
CFC,2651,Industrias manufactureras,Bajo,"C         ","""""""Fabricación de equipo de medición"
CFC,2652,Industrias manufactureras,Bajo,"C         ",Fabricación de relojes
CFC,2660,Industrias manufactureras,Bajo,"C         ",Fabricación de equipo de irradiación y equipo electrónico de uso médico y terapéutico
CFC,2670,Industrias manufactureras,Bajo,"C         ",Fabricación de instrumentos ópticos y equipo fotográfico
CFC,2680,Industrias manufactureras,Bajo,"C         ",Fabricación de soportes magnéticos y ópticos
CFC,2711,Industrias manufactureras,Bajo,"C         ","""""""Fabricación de motores"
CFC,2712,Industrias manufactureras,Bajo,"C         ",Fabricación de aparatos de distribución y control de la energía electrica
CFC,2720,Industrias manufactureras,Bajo,"C         ","""""""Fabricación de pilas"
CFC,2731,Industrias manufactureras,Bajo,"C         ",Fabricación de hilos y cables eléctricos y de fibra óptica
CFC,2732,Industrias manufactureras,Bajo,"C         ",Fabricación de dispositivos de cableado
CFC,2740,Industrias manufactureras,Bajo,"C         ",Fabricación de equipos eléctricos de iluminación
CFC,2750,Industrias manufactureras,Bajo,"C         ",Fabricación de aparatos de uso domestico
CFC,2790,Industrias manufactureras,Bajo,"C         ",Fabricación de otros tipos de equipo eléctrico n.c.p.
CFC,2811,Industrias manufactureras,Bajo,"C         ","""""""Fabricación de motores"
CFC,2812,Industrias manufactureras,Bajo,"C         ",Fabricación de equipos de potencia hidráulica y neumática
CFC,2813,Industrias manufactureras,Bajo,"C         ","""""""Fabricación de otras bombas"
CFC,2814,Industrias manufactureras,Bajo,"C         ","""""""Fabricación de cojinetes"
CFC,2815,Industrias manufactureras,Bajo,"C         ","""""""Fabricación de hornos"
CFC,2816,Industrias manufactureras,Bajo,"C         ",Fabricación de equipo de elevación y manipulación
CFC,2817,Industrias manufactureras,Bajo,"C         ",Fabricación de maquinaria y equipo de oficina (excepto computadoras y equipo periférico)
CFC,2818,Industrias manufactureras,Bajo,"C         ",Fabricación de herramientas manuales con motor
CFC,2819,Industrias manufactureras,Bajo,"C         ",Fabricación de otros tipos de maquinaria y equipo de uso general n.c.p.
CFC,2821,Industrias manufactureras,Bajo,"C         ",Fabricación de maquinaria agropecuaria y forestal
CFC,2822,Industrias manufactureras,Bajo,"C         ",Fabricación de máquinas formadoras de metal y de máquinas herramienta
CFC,2823,Industrias manufactureras,Bajo,"C         ",Fabricación de maquinaria para la metalurgia
CFC,2824,Industrias manufactureras,Bajo,"C         ",Fabricación de maquinaria para explotación de minas y canteras y para obras de construcción
CFC,2825,Industrias manufactureras,Bajo,"C         ","""""""Fabricación de maquinaria para la elaboración de alimentos"
CFC,2826,Industrias manufactureras,Bajo,"C         ","""""""Fabricación de maquinaria para la elaboración de productos textiles"
CFC,2829,Industrias manufactureras,Bajo,"C         ",Fabricación de otros tipos de maquinaria y equipo de uso especial n.c.p.
CFC,2910,Industrias manufactureras,Bajo,"C         ",Fabricación de vehículos automotores y sus motores
CFC,2920,Industrias manufactureras,Bajo,"C         ",Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semirremolques
CFC,2930,Industrias manufactureras,Bajo,"C         ","""""""Fabricación de partes"
CFC,3011,Industrias manufactureras,Bajo,"C         ",Construcción de barcos y de estructuras flotantes
CFC,3012,Industrias manufactureras,Bajo,"C         ",Construcción de embarcaciones de recreo y deporte
CFC,3020,Industrias manufactureras,Bajo,"C         ",Fabricación de locomotoras y de material rodante para ferrocarriles
CFC,3030,Industrias manufactureras,Bajo,"C         ","""""""Fabricación de aeronaves"
CFC,3040,Industrias manufactureras,Bajo,"C         ",Fabricación de vehículos militares de combate
CFC,3091,Industrias manufactureras,Bajo,"C         ",Fabricación de motocicletas
CFC,3092,Industrias manufactureras,Bajo,"C         ",Fabricación de bicicletas y de sillas de ruedas para personas con discapacidad
CFC,3099,Industrias manufactureras,Bajo,"C         ",Fabricación de otros tipos de equipo de transporte n.c.p.
CFC,3110,Industrias manufactureras,Bajo,"C         ",Fabricación de muebles
CFC,3120,Industrias manufactureras,Bajo,"C         ",Fabricación de colchones y somieres
CFC,3210,Industrias manufactureras,Bajo,"C         ","""""""Fabricación de joyas"
CFC,3220,Industrias manufactureras,Bajo,"C         ",Fabricación de instrumentos musicales
CFC,3230,Industrias manufactureras,Bajo,"C         ",Fabricación de artículos y equipo para la práctica del deporte
CFC,3240,Industrias manufactureras,Bajo,"C         ","""""""Fabricación de juegos"
CFC,3250,Industrias manufactureras,Bajo,"C         ","""""""Fabricación de instrumentos"
CFC,3290,Industrias manufactureras,Bajo,"C         ",Otras industrias manufactureras n.c.p.
CFC,3311,Industrias manufactureras,Bajo,"C         ",Mantenimiento y reparación especializado de productos elaborados en metal
CFC,3312,Industrias manufactureras,Bajo,"C         ",Mantenimiento y reparación especializado de maquinaria y equipo
CFC,3313,Industrias manufactureras,Bajo,"C         ",Mantenimiento y reparación especializado de equipo electrónico y óptico
CFC,3314,Industrias manufactureras,Bajo,"C         ",Mantenimiento y reparación especializado de equipo eléctrico
CFC,3315,Industrias manufactureras,Bajo,"C         ","""""""Mantenimiento y reparación especializado de equipo de transporte"
CFC,3319,Industrias manufactureras,Bajo,"C         ",Mantenimiento y reparación de otros tipos de equipos y sus componentes n.c.p.
CFC,3320,Industrias manufactureras,Bajo,"C         ",Instalación especializada de maquinaria y equipo industrial
CFC,3511,"""Suministro de electricidad, gas, vapor y aire acondicionado""",Bajo,"D         ",Generación de energía eléctrica
CFC,3512,"""Suministro de electricidad, gas, vapor y aire acondicionado""",Bajo,"D         ",Transmisión de energía eléctrica
CFC,3513,"""Suministro de electricidad, gas, vapor y aire acondicionado""",Bajo,"D         ",Distribución de energía eléctrica
CFC,3514,"""Suministro de electricidad, gas, vapor y aire acondicionado""",Bajo,"D         ",Comercialización de energía eléctrica
CFC,3520,"""Suministro de electricidad, gas, vapor y aire acondicionado""",Bajo,"D         ",Producción de gas; distribución de combustibles gaseosos por tuberías
CFC,3530,"""Suministro de electricidad, gas, vapor y aire acondicionado""",Bajo,"D         ",Suministro de vapor y aire acondicionado
CFC,3600,"""Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación""",Bajo,"E         ","""""""Captación"
CFC,3700,"""Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación""",Bajo,"E         ",Evacuación y tratamiento de aguas residuales
CFC,3811,"""Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación""",Bajo,"E         ",Recolección de desechos no peligrosos
CFC,3812,"""Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación""",Bajo,"E         ",Recolección de desechos peligrosos
CFC,3821,"""Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación""",Bajo,"E         ",Tratamiento y disposición de desechos no peligrosos
CFC,3822,"""Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación""",Bajo,"E         ",Tratamiento y disposición de desechos peligrosos
CFC,3830,"""Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación""",Bajo,"E         ",Recuperación de materiales
CFC,3900,"""Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación""",Bajo,"E         ",Actividades de saneamiento ambiental y otros servicios de gestión de desechos
CFC,4111,Construcción,Bajo,"F         ",Construcción de edificios residenciales
CFC,4112,Construcción,Bajo,"F         ",Construcción de edificios no residenciales
CFC,4210,Construcción,Bajo,"F         ",Construcción de carreteras y vías de ferrocarril
CFC,4220,Construcción,Bajo,"F         ",Construcción de proyectos de servicio público
CFC,4290,Construcción,Bajo,"F         ",Construcción de otras obras de ingeniería civil
CFC,4311,Construcción,Bajo,"F         ",Demolición
CFC,4312,Construcción,Bajo,"F         ",Preparación del terreno
CFC,4321,Construcción,Bajo,"F         ",Instalaciones eléctricas
CFC,4322,Construcción,Bajo,"F         ","""""""Instalaciones de fontanería"
CFC,4329,Construcción,Bajo,"F         ",Otras instalaciones especializadas
CFC,4330,Construcción,Bajo,"F         ",Terminación y acabado de edificios y obras de ingeniería civil
CFC,4390,Construcción,Bajo,"F         ",Otras actividades especializadas para la construcción de edificios y obras de ingeniería civil
CFC,4511,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Medio,"G         ",Comercio de vehículos automotores nuevos
CFC,4512,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Medio,"G         ",Comercio de vehículos automotores usados
CFC,4520,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Medio,"G         ",Mantenimiento y reparación de vehículos automotores
