Pais,Codigo,Sectores
"CFC  ","1310      ",6810
"CFC  ","1311      ",6511
"CFC  ","1312      ",4690
"CFC  ","1313      ",8220
"CFC  ","1314      ",4663
"CFC  ","1315      ",9005
"CFC  ","1316      ",6190
"CFC  ","1317      ",0
"CFC  ","1318      ",6619
"CFC  ","1319      ",7110
"CFC  ","132       ",8621
"CFC  ","1320      ",2410
"CFC  ","1321      ",2029
"CFC  ","1322      ",4741
"CFC  ","1323      ",1104
"CFC  ","1324      ",4661
"CFC  ","1325      ",4921
"CFC  ","1326      ",4921
"CFC  ","1327      ",5229
"CFC  ","1328      ",7830
"CFC  ","1329      ",8010
"CFC  ","133       ",8299
"CFC  ","1330      ",5811
"CFC  ","1331      ",6209
"CFC  ","1332      ",8621
"CFC  ","1333      ",6201
"CFC  ","1334      ",6630
"CFC  ","1335      ",7990
"CFC  ","1336      ",0
"CFC  ","1337      ",4731
"CFC  ","1338      ",8622
"CFC  ","1339      ",2023
"CFC  ","134       ",8699
"CFC  ","1340      ",2011
"CFC  ","1341      ",8622
"CFC  ","1342      ",1512
"CFC  ","1343      ",7020
"CFC  ","1344      ",8430
"CFC  ","1345      ",8415
"CFC  ","1346      ",6512
"CFC  ","1347      ",7020
"CFC  ","1348      ",4731
"CFC  ","1349      ",4290
"CFC  ","135       ",7110
"CFC  ","1350      ",6810
"CFC  ","1351      ",150
"CFC  ","1352      ",6201
"CFC  ","1353      ",8610
"CFC  ","1354      ",6201
"CFC  ","1355      ",6920
"CFC  ","1356      ",6202
"CFC  ","1357      ",8291
"CFC  ","1358      ",6511
"CFC  ","1359      ",6810
"CFC  ","136       ",6910
"CFC  ","1360      ",6920
"CFC  ","1361      ",3315
"CFC  ","1362      ",6412
"CFC  ","1363      ",4645
"CFC  ","1364      ",4741
"CFC  ","1365      ",811
"CFC  ","1366      ",4210
"CFC  ","1367      ",6621
"CFC  ","1368      ",910
"CFC  ","1369      ",7110
"CFC  ","137       ",8610
"CFC  ","1370      ",6202
"CFC  ","1371      ",9900
"CFC  ","1372      ",8411
"CFC  ","1373      ",7730
"CFC  ","1374      ",8010
"CFC  ","1375      ",2221
"CFC  ","1376      ",6499
"CFC  ","1377      ",8610
"CFC  ","1378      ",8010
"CFC  ","1379      ",4774
"CFC  ","138       ",5511
"CFC  ","1380      ",7912
"CFC  ","1381      ",8544
"CFC  ","1382      ",8415
"CFC  ","1383      ",6209
"CFC  ","1384      ",6202
"CFC  ","1385      ",910
"CFC  ","1386      ",2511
"CFC  ","1387      ",4290
"CFC  ","1388      ",8291
"CFC  ","1389      ",4290
"CFC  ","139       ",8415
"CFC  ","1390      ",4321
"CFC  ","1391      ",6202
"CFC  ","1392      ",5611
"CFC  ","1393      ",8621
"CFC  ","1394      ",8121
"CFC  ","1395      ",6412
"CFC  ","1396      ",4923
"CFC  ","1397      ",4923
"CFC  ","1398      ",2100
"CFC  ","1399      ",6512
"CFC  ","14        ",8610
"CFC  ","140       ",7110
"CFC  ","1400      ",7820
"CFC  ","1401      ",2100
"CFC  ","1402      ",3312
"CFC  ","1403      ",6495
"CFC  ","1404      ",7110
"CFC  ","1405      ",8010
"CFC  ","1406      ",4620
"CFC  ","1407      ",8810
"CFC  ","1408      ",8544
"CFC  ","1409      ",820
"CFC  ","141       ",6630
"CFC  ","1410      ",8691
"CFC  ","1411      ",4511
"CFC  ","1412      ",4690
"CFC  ","1413      ",2229
"CFC  ","1414      ",7820
"CFC  ","1415      ",6810
"CFC  ","1416      ",6399
"CFC  ","1417      ",4923
"CFC  ","1418      ",5022
"CFC  ","1419      ",8299
"CFC  ","142       ",6130
"CFC  ","1420      ",8414
"CFC  ","1421      ",6120
"CFC  ","1422      ",8010
"CFC  ","1423      ",7110
"CFC  ","1424      ",3312
"CFC  ","1425      ",4210
"CFC  ","1426      ",8610
"CFC  ","1427      ",5320
"CFC  ","1428      ",8621
"CFC  ","1429      ",0
"CFC  ","143       ",7020
"CFC  ","1430      ",8544
"CFC  ","1431      ",0
"CFC  ","1432      ",4923
"CFC  ","1433      ",6810
"CFC  ","1434      ",0
"CFC  ","1435      ",8010
"CFC  ","1436      ",0
"CFC  ","1437      ",0
"CFC  ","1438      ",8411
"CFC  ","1439      ",2229
"CFC  ","144       ",4620
"CFC  ","1440      ",0
"CFC  ","1441      ",4631
"CFC  ","1442      ",6810
"CFC  ","1443      ",8610
"CFC  ","1444      ",6499
"CFC  ","1445      ",6810
"CFC  ","1446      ",4645
"CFC  ","1447      ",6499
"CFC  ","1448      ",8621
"CFC  ","1449      ",4645
"CFC  ","145       ",6412
"CFC  ","1450      ",0
"CFC  ","1451      ",4210
"CFC  ","1452      ",812
"CFC  ","1453      ",6493
"CFC  ","1454      ",3600
"CFC  ","1455      ",6422
"CFC  ","1456      ",220
"CFC  ","1457      ",6619
"CFC  ","1458      ",610
"CFC  ","1459      ",4663
"CFC  ","146       ",6412
"CFC  ","1460      ",9499
"CFC  ","1461      ",130
"CFC  ","1462      ",2012
"CFC  ","1463      ",2023
"CFC  ","1464      ",8010
"CFC  ","1465      ",5511
"CFC  ","1466      ",4754
"CFC  ","1467      ",7020
"CFC  ","1468      ",3822
"CFC  ","1469      ",6202
"CFC  ","147       ",5611
"CFC  ","1470      ",4290
"CFC  ","1471      ",4641
"CFC  ","1472      ",8512
"CFC  ","1473      ",7490
"CFC  ","1474      ",6202
"CFC  ","1475      ",0
"CFC  ","1476      ",2930
"CFC  ","1477      ",8544
"CFC  ","1478      ",7310
"CFC  ","1479      ",8010
"CFC  ","148       ",8423
"CFC  ","1480      ",4755
"CFC  ","1481      ",8521
"CFC  ","1482      ",7010
"CFC  ","1483      ",0
"CFC  ","1484      ",4741
"CFC  ","1485      ",6423
"CFC  ","1486      ",2399
"CFC  ","1487      ",4921
"CFC  ","1488      ",8413
"CFC  ","1489      ",0
"CFC  ","149       ",2393
"CFC  ","1490      ",6209
"CFC  ","1491      ",6020
"CFC  ","1492      ",0
"CFC  ","1493      ",0
"CFC  ","1494      ",6201
"CFC  ","1495      ",4631
"CFC  ","1496      ",4112
"CFC  ","1497      ",0
"CFC  ","1498      ",1089
"CFC  ","1499      ",4511
"CFC  ","15        ",8522
"CFC  ","150       ",8610
"CFC  ","1500      ",8544
"CFC  ","1501      ",6910
"CFC  ","1502      ",6492
"CFC  ","1503      ",6621
"CFC  ","1504      ",4751
"CFC  ","1505      ",0
"CFC  ","1506      ",5612
"CFC  ","1507      ",6499
"CFC  ","1508      ",8530
"CFC  ","1509      ",3312
"CFC  ","151       ",8541
"CFC  ","1510      ",4669
"CFC  ","1511      ",8610
"CFC  ","1512      ",8610
"CFC  ","1513      ",6190
"CFC  ","1514      ",4921
"CFC  ","1515      ",1410
"CFC  ","1516      ",2229
"CFC  ","1517      ",5111
"CFC  ","1518      ",5820
"CFC  ","1519      ",6422
"CFC  ","152       ",8414
"CFC  ","1520      ",8411
"CFC  ","1521      ",6810
"CFC  ","1522      ",4321
"CFC  ","1523      ",4290
"CFC  ","1524      ",4645
"CFC  ","1525      ",4645
"CFC  ","1526      ",6202
"CFC  ","1527      ",8544
"CFC  ","1528      ",4631
"CFC  ","1529      ",4659
"CFC  ","153       ",145
"CFC  ","1530      ",6494
"CFC  ","1531      ",722
"CFC  ","1532      ",3120
"CFC  ","1533      ",4923
"CFC  ","1534      ",4663
"CFC  ","1535      ",4111
"CFC  ","1536      ",4290
"CFC  ","1537      ",3312
"CFC  ","1538      ",4663
"CFC  ","1539      ",2023
"CFC  ","154       ",8621
"CFC  ","1540      ",5611
"CFC  ","1541      ",6910
"CFC  ","1542      ",6521
"CFC  ","1543      ",4659
"CFC  ","1544      ",4773
"CFC  ","1545      ",3315
"CFC  ","1546      ",4741
"CFC  ","1547      ",4645
"CFC  ","1548      ",5229
"CFC  ","1549      ",8544
"CFC  ","155       ",9601
"CFC  ","1550      ",7010
"CFC  ","1551      ",4923
"CFC  ","1552      ",610
"CFC  ","1553      ",2511
"CFC  ","1554      ",7020
"CFC  ","1555      ",8299
"CFC  ","1556      ",2930
"CFC  ","1557      ",4773
"CFC  ","1558      ",6020
"CFC  ","1559      ",119
"CFC  ","156       ",7020
"CFC  ","1560      ",6810
"CFC  ","1561      ",1410
"CFC  ","1562      ",4663
"CFC  ","1563      ",1410
"CFC  ","1564      ",1082
"CFC  ","1565      ",1030
"CFC  ","1566      ",6492
"CFC  ","1567      ",4651
"CFC  ","1568      ",8411
"CFC  ","1569      ",7310
"CFC  ","157       ",7020
"CFC  ","1570      ",9900
"CFC  ","1571      ",7911
"CFC  ","1572      ",8412
"CFC  ","1573      ",6202
"CFC  ","1574      ",4923
"CFC  ","1575      ",0
"CFC  ","1576      ",5320
"CFC  ","1577      ",1410
"CFC  ","1578      ",1104
"CFC  ","1579      ",4741
"CFC  ","158       ",9900
"CFC  ","1580      ",4669
"CFC  ","1581      ",4390
"CFC  ","1582      ",6810
"CFC  ","1583      ",5629
"CFC  ","1584      ",4112
"CFC  ","1585      ",8415
"CFC  ","1586      ",8230
"CFC  ","1587      ",9499
"CFC  ","1588      ",8522
"CFC  ","1589      ",7220
"CFC  ","159       ",4659
"CFC  ","1590      ",9603
"CFC  ","1591      ",2511
"CFC  ","1592      ",0
"CFC  ","1593      ",5224
"CFC  ","1594      ",4290
"CFC  ","1595      ",2021
"CFC  ","1596      ",4511
"CFC  ","1597      ",1082
"CFC  ","1598      ",4732
"CFC  ","1599      ",4923
"CFC  ","16        ",4530
"CFC  ","160       ",8544
"CFC  ","1600      ",7020
"CFC  ","1601      ",2431
"CFC  ","1602      ",161
"CFC  ","1603      ",7820
"CFC  ","1604      ",8020
"CFC  ","1605      ",5612
"CFC  ","1606      ",6202
"CFC  ","1607      ",8610
"CFC  ","1608      ",6201
"CFC  ","1609      ",8220
"CFC  ","161       ",6422
"CFC  ","1610      ",8559
"CFC  ","1611      ",8129
"CFC  ","1612      ",4669
"CFC  ","1613      ",8621
"CFC  ","1614      ",0
"CFC  ","1615      ",6499
"CFC  ","1616      ",6920
"CFC  ","1617      ",6202
"CFC  ","1618      ",4511
"CFC  ","1619      ",122
"CFC  ","162       ",4690
"CFC  ","1620      ",6810
"CFC  ","1621      ",4921
"CFC  ","1622      ",6619
"CFC  ","1623      ",4651
"CFC  ","1624      ",4290
"CFC  ","1625      ",8299
"CFC  ","1626      ",2431
"CFC  ","1627      ",8610
"CFC  ","1628      ",4511
"CFC  ","1629      ",6499
"CFC  ","163       ",6810
"CFC  ","1630      ",6201
"CFC  ","1631      ",7820
"CFC  ","1632      ",6190
"CFC  ","1633      ",4923
"CFC  ","1634      ",4771
"CFC  ","1635      ",7310
"CFC  ","1636      ",4923
"CFC  ","1637      ",4290
"CFC  ","1638      ",4690
"CFC  ","1639      ",8220
"CFC  ","164       ",8415
"CFC  ","1640      ",8523
"CFC  ","1641      ",5511
"CFC  ","1642      ",6422
"CFC  ","1643      ",7020
"CFC  ","1644      ",6120
"CFC  ","1645      ",6202
"CFC  ","1646      ",4631
"CFC  ","1647      ",4752
"CFC  ","1648      ",6391
"CFC  ","1649      ",7310
"CFC  ","165       ",2229
"CFC  ","1650      ",4321
"CFC  ","1651      ",6910
"CFC  ","1652      ",6201
"CFC  ","1653      ",6630
"CFC  ","1654      ",6499
"CFC  ","1655      ",5811
"CFC  ","1656      ",2920
"CFC  ","1657      ",5811
"CFC  ","1658      ",9005
"CFC  ","1659      ",9102
"CFC  ","166       ",8299
"CFC  ","1660      ",8421
"CFC  ","1661      ",6613
"CFC  ","1662      ",1082
"CFC  ","1663      ",6130
"CFC  ","1664      ",2100
"CFC  ","1665      ",5122
"CFC  ","1666      ",4723
"CFC  ","1667      ",6399
"CFC  ","1668      ",8010
"CFC  ","1669      ",7020
"CFC  ","167       ",7110
"CFC  ","1670      ",6621
"CFC  ","1671      ",6201
"CFC  ","1672      ",145
"CFC  ","1673      ",7830
"CFC  ","1674      ",4111
"CFC  ","1675      ",4664
"CFC  ","1676      ",8699
"CFC  ","1677      ",161
"CFC  ","1678      ",8610
"CFC  ","1679      ",7110
"CFC  ","168       ",8522
"CFC  ","1680      ",4690
"CFC  ","1681      ",4330
"CFC  ","1682      ",6492
"CFC  ","1683      ",8523
"CFC  ","1684      ",8523
"CFC  ","1685      ",7010
"CFC  ","1686      ",7110
"CFC  ","1687      ",4111
"CFC  ","1688      ",4111
"CFC  ","1689      ",7110
"CFC  ","169       ",8010
"CFC  ","1690      ",4772
"CFC  ","1691      ",4659
"CFC  ","1692      ",4659
"CFC  ","1693      ",4659
"CFC  ","1694      ",6521
"CFC  ","1695      ",7310
"CFC  ","1696      ",7912
"CFC  ","1697      ",6412
"CFC  ","1698      ",610
"CFC  ","1699      ",1104
"CFC  ","17        ",1702
"CFC  ","170       ",7010
"CFC  ","1700      ",8699
"CFC  ","1701      ",4663
"CFC  ","1702      ",7010
"CFC  ","1703      ",8544
"CFC  ","1704      ",7120
"CFC  ","1705      ",4923
"CFC  ","1706      ",4610
"CFC  ","1707      ",6499
"CFC  ","1708      ",4923
"CFC  ","1709      ",9499
"CFC  ","171       ",7310
"CFC  ","1710      ",7110
"CFC  ","1711      ",6621
"CFC  ","1712      ",6621
"CFC  ","1713      ",4111
"CFC  ","1714      ",7830
"CFC  ","1715      ",4111
"CFC  ","1716      ",8610
"CFC  ","1717      ",6202
"CFC  ","1718      ",4659
"CFC  ","1719      ",6910
"CFC  ","172       ",8129
"CFC  ","1720      ",8699
"CFC  ","1721      ",4210
"CFC  ","1722      ",7020
"CFC  ","1723      ",6521
"CFC  ","1724      ",6511
"CFC  ","1725      ",5913
"CFC  ","1726      ",4923
"CFC  ","1727      ",8430
"CFC  ","1728      ",4921
"CFC  ","1729      ",6630
"CFC  ","173       ",4321
"CFC  ","1730      ",4923
"CFC  ","1731      ",4921
"CFC  ","1732      ",8430
"CFC  ","1733      ",8412
"CFC  ","1734      ",6810
"CFC  ","1735      ",7820
"CFC  ","1736      ",2930
"CFC  ","1737      ",8890
"CFC  ","1738      ",6521
"CFC  ","1739      ",4111
"CFC  ","174       ",7490
"CFC  ","1740      ",5511
"CFC  ","1741      ",5511
"CFC  ","1742      ",4620
"CFC  ","1743      ",4520
"CFC  ","1744      ",8530
"CFC  ","1745      ",7830
"CFC  ","1746      ",6110
"CFC  ","1747      ",7020
"CFC  ","1748      ",7110
"CFC  ","1749      ",4111
"CFC  ","175       ",2229
"CFC  ","1750      ",3600
"CFC  ","1751      ",161
"CFC  ","1752      ",4112
"CFC  ","1753      ",6494
"CFC  ","1754      ",6201
"CFC  ","1755      ",4111
"CFC  ","1756      ",2029
"CFC  ","1757      ",7830
"CFC  ","1758      ",4290
"CFC  ","1759      ",8610
"CFC  ","176       ",6820
"CFC  ","1760      ",8421
"CFC  ","1761      ",4645
"CFC  ","1762      ",7820
"CFC  ","1763      ",9329
"CFC  ","1764      ",4111
"CFC  ","1765      ",4663
"CFC  ","1766      ",8692
"CFC  ","1767      ",1104
"CFC  ","1768      ",2511
"CFC  ","1769      ",8421
"CFC  ","177       ",7830
"CFC  ","1770      ",4923
"CFC  ","1771      ",4511
"CFC  ","1772      ",4773
"CFC  ","1773      ",8010
"CFC  ","1774      ",7110
"CFC  ","1775      ",7310
"CFC  ","1776      ",5511
"CFC  ","1777      ",7110
"CFC  ","1778      ",7110
"CFC  ","1779      ",6920
"CFC  ","178       ",4663
"CFC  ","1780      ",4652
"CFC  ","1781      ",4511
"CFC  ","1782      ",5229
"CFC  ","1783      ",6612
"CFC  ","1784      ",7110
"CFC  ","1785      ",4111
"CFC  ","1786      ",4620
"CFC  ","1787      ",8299
"CFC  ","1788      ",1089
"CFC  ","1789      ",1089
"CFC  ","179       ",4923
"CFC  ","1790      ",5920
"CFC  ","1791      ",6492
"CFC  ","1792      ",2750
"CFC  ","1793      ",4112
"CFC  ","1794      ",7310
"CFC  ","1795      ",7010
"CFC  ","1796      ",6424
"CFC  ","1797      ",8610
"CFC  ","1798      ",4923
"CFC  ","1799      ",4290
"CFC  ","18        ",4659
"CFC  ","180       ",4774
"CFC  ","1800      ",7820
"CFC  ","1801      ",8299
"CFC  ","1802      ",8512
"CFC  ","1803      ",6399
"CFC  ","1804      ",7020
"CFC  ","1805      ",4741
"CFC  ","1806      ",9329
"CFC  ","1807      ",4661
"CFC  ","1808      ",6619
"CFC  ","1809      ",3811
"CFC  ","181       ",2825
"CFC  ","1810      ",2100
"CFC  ","1811      ",4530
"CFC  ","1812      ",8121
"CFC  ","1813      ",7110
"CFC  ","1814      ",4719
"CFC  ","1815      ",8299
"CFC  ","1816      ",4773
"CFC  ","1817      ",6521
"CFC  ","1818      ",6202
"CFC  ","1819      ",8010
"CFC  ","182       ",2930
"CFC  ","1820      ",4731
"CFC  ","1821      ",910
"CFC  ","1822      ",2219
"CFC  ","1823      ",8010
"CFC  ","1824      ",4665
"CFC  ","1825      ",6613
"CFC  ","1826      ",8010
"CFC  ","1827      ",6820
"CFC  ","1828      ",2410
"CFC  ","1829      ",2599
"CFC  ","183       ",4330
"CFC  ","1830      ",4921
"CFC  ","1831      ",8430
"CFC  ","1832      ",4664
"CFC  ","1833      ",8411
