Pais,Número Préstamo,Prestamo Completo formula,Prestamo completo valor,Categoría
PAN,01-C-000683,01-C-000683,,B-1
PAN,01-C-000685,01-C-000685,,B-1
PAN,01-C-000687,01-C-000687,,A-1
PAN,01-C-000691,01-C-000691,,B-1
PAN,01-C-000694,01-C-000694,,B-4
PAN,01-C-000697,01-C-000697,,A-1
PAN,01-C-000702,01-C-000702,,B-1
PAN,01-C-000703,01-C-000703,,B-1
PAN,01-C-000704,01-C-000704,,B-1
PAN,01-C-000706,01-C-000706,,B-4
PAN,01-C-000707,01-C-000707,,B-4
PAN,01-C-000711,01-C-000711,,B-4
PAN,01-C-000712,01-C-000712,,B-1
PAN,01-C-000713,01-C-000713,,B-4
PAN,01-C-000720,01-C-000720,,B-4
PAN,01-C-000723,01-C-000723,,B-4
PAN,01-C-000725,01-C-000725,,B-2
PAN,01-C-000726,01-C-000726,,A-1
PAN,01-C-000728,01-C-000728,,B-1
PAN,01-C-000729,01-C-000729,,B-1
PAN,01-C-000734,01-C-000734,,B-4
PAN,01-C-000738,01-C-000738,,B-1
PAN,01-C-000739,01-C-000739,,B-2
PAN,01-C-000742,01-C-000742,,B-3
PAN,01-C-000743,01-C-000743,,A-1
PAN,01-C-000744,01-C-000744,,B-4
PAN,01-C-000745,01-C-000745,,B-4
PAN,01-C-000748,01-C-000748,,B-4
PAN,01-C-000751,01-C-000751,,A-3
PAN,01-C-000756,01-C-000756,,A-1
PAN,01-C-000760,01-C-000760,,B-4
PAN,01-C-000763,01-C-000763,,B-1
PAN,01-C-000764,01-C-000764,,B-1
PAN,01-C-000766,01-C-000766,,B-1
PAN,01-C-000769,01-C-000769,,B-2
PAN,01-C-000774,01-C-000774,,A-1
PAN,01-C-000775,01-C-000775,,B-4
PAN,01-C-000777,01-C-000777,,B-3
PAN,01-C-000782,01-C-000782,,B-4
PAN,01-C-000784,01-C-000784,,B-4
PAN,01-C-000788,01-C-000788,,B-1
PAN,01-C-000805,01-C-000805,,B-1
PAN,01-C-000806,01-C-000806,,B-4
PAN,01-C-000809,01-C-000809,,A-3
PAN,01-C-000826,01-C-000826,,A-1
PAN,01-C-000867,01-C-000867,,B-4
PAN,01-C-000869,01-C-000869,,B-4
PAN,01-C-000871,01-C-000871,,B-4
PAN,01-C-000872,01-C-000872,,B-2
PAN,01-C-000876,01-C-000876,,A-1
PAN,01-C-000877,01-C-000877,,B-4
PAN,01-C-000880,01-C-000880,,B-1
PAN,01-C-000883,01-C-000883,,A-1
PAN,01-C-000885,01-C-000885,,B-4
PAN,01-C-000889,01-C-000889,,B-5
PAN,01-C-000892,01-C-000892,,A-1
PAN,01-C-000893,01-C-000893,,B-4
PAN,01-C-000897,01-C-000897,,B-1
PAN,01-C-000898,01-C-000898,,B-2
PAN,01-C-000900,01-C-000900,,B-2
PAN,01-C-000901,01-C-000901,,A-1
PAN,01-C-000904,01-C-000904,,B-1
PAN,01-C-000914,01-C-000914,,B-2
PAN,01-C-000915,01-C-000915,,B-5
PAN,01-C-000916,01-C-000916,,B-1
PAN,01-C-000920,01-C-000920,,B-1
PAN,01-C-000922,01-C-000922,,A-1
PAN,01-C-000931,01-C-000931,,B-1
PAN,01-C-000936,01-C-000936,,B-1
PAN,01-C-000937,01-C-000937,,A-1
PAN,01-C-000938,01-C-000938,,A-3
PAN,01-C-000939,01-C-000939,,B-1
PAN,01-C-000943,01-C-000943,,B-5
PAN,01-C-000948,01-C-000948,,B-1
PAN,01-C-000949,01-C-000949,,B-1
PAN,01-C-000950,01-C-000950,,B-1
PAN,01-C-000951,01-C-000951,,B-4
PAN,01-C-000956,01-C-000956,,B-2
PAN,01-C-000970,01-C-000970,,A-3
PAN,01-C-000973,01-C-000973,,A-1
PAN,01-C-000975,01-C-000975,,B-2
PAN,01-C-000977,01-C-000977,,B-3
PAN,01-C-000978,01-C-000978,,A-1
PAN,01-C-000980,01-C-000980,,B-4
PAN,01-C-000981,01-C-000981,,B-1
PAN,01-C-000983,01-C-000983,,A-1
PAN,01-C-000984,01-C-000984,,B-1
PAN,01-C-000993,01-C-000993,,B-2
PAN,01-C-001001,01-C-001001,,B-2
PAN,01-C-001032,01-C-001032,,B-1
PAN,01-C-001086,01-C-001086,,B-4
PAN,01-C-001270,01-C-001270,,B-1
PAN,01-C-001271,01-C-001271,,B-2
PAN,01-C-001273,01-C-001273,,B-5
PAN,01-C-003596,01-C-003596,,B-1
PAN,01-C-003598,01-C-003598,,A-1
PAN,01-C-003601,01-C-003601,,B-2
PAN,01-C-003602,01-C-003602,,A-1
PAN,01-C-003604,01-C-003604,,B-1
PAN,01-C-003605,01-C-003605,,A-1
PAN,01-C-003606,01-C-003606,,B-4
PAN,01-C-003610,01-C-003610,,B-1
PAN,01-C-003612,01-C-003612,,B-1
PAN,01-C-003613,01-C-003613,,A-1
PAN,01-C-003615,01-C-003615,,B-3
PAN,01-C-003617,01-C-003617,,B-1
PAN,01-C-003618,01-C-003618,,B-1
PAN,01-C-003620,01-C-003620,,B-2
PAN,01-C-003623,01-C-003623,,B-2
PAN,01-C-003624,01-C-003624,,A-1
PAN,01-C-003627,01-C-003627,,B-1
PAN,01-C-003632,01-C-003632,,A-1
PAN,01-C-003634,01-C-003634,,B-1
PAN,01-C-003833,01-C-003833,,B-1
PAN,01-C-004111,01-C-004111,,B-1
PAN,01-C-004114,01-C-004114,,A-1
